date, timestamp, heart rate
2019-06-13 13:46:05 +0000, 00:07:01, 200
2019-06-13 13:46:06 +0000, 00:07:02, 198
2019-06-13 13:46:07 +0000, 00:07:03, 197
2019-06-13 13:46:08 +0000, 00:07:04, 195
2019-06-13 13:46:09 +0000, 00:07:05, 190
2019-06-13 13:46:11 +0000, 00:07:06, 185
2019-06-13 13:46:11 +0000, 00:07:07, 180
2019-06-13 13:46:12 +0000, 00:07:08, 174
2019-06-13 13:46:13 +0000, 00:07:09, 173
2019-06-13 13:46:14 +0000, 00:07:10, 168
2019-06-13 13:46:15 +0000, 00:07:11, 186
2019-06-13 13:46:16 +0000, 00:07:12, 192
2019-06-13 13:46:17 +0000, 00:07:13, 193
2019-06-13 13:46:18 +0000, 00:07:14, 194
2019-06-13 13:46:19 +0000, 00:07:15, 195
2019-06-13 13:46:21 +0000, 00:07:17, 194
2019-06-13 13:46:22 +0000, 00:07:17, 193
2019-06-13 13:46:22 +0000, 00:07:18, 180
2019-06-13 13:46:23 +0000, 00:07:19, 154
2019-06-13 13:46:24 +0000, 00:07:20, 161
2019-06-13 13:46:25 +0000, 00:07:21, 179
2019-06-13 13:46:26 +0000, 00:07:22, 186
2019-06-13 13:46:27 +0000, 00:07:23, 186
2019-06-13 13:46:28 +0000, 00:07:24, 184
2019-06-13 13:46:29 +0000, 00:07:25, 183
2019-06-13 13:46:31 +0000, 00:07:26, 172
2019-06-13 13:46:31 +0000, 00:07:27, 150
2019-06-13 13:46:32 +0000, 00:07:28, 146
2019-06-13 13:46:33 +0000, 00:07:29, 143
2019-06-13 13:46:34 +0000, 00:07:30, 142
2019-06-13 13:46:35 +0000, 00:07:31, 140
2019-06-13 13:46:36 +0000, 00:07:32, 138
2019-06-13 13:46:37 +0000, 00:07:33, 152
2019-06-13 13:46:38 +0000, 00:07:34, 170
2019-06-13 13:46:39 +0000, 00:07:35, 183
2019-06-13 13:46:40 +0000, 00:07:36, 190
2019-06-13 13:46:41 +0000, 00:07:36, 193
2019-06-13 13:46:42 +0000, 00:07:37, 192
2019-06-13 13:46:43 +0000, 00:07:38, 190
2019-06-13 13:46:44 +0000, 00:07:39, 188
2019-06-13 13:46:45 +0000, 00:07:40, 171
2019-06-13 13:46:46 +0000, 00:07:41, 135
2019-06-13 13:46:47 +0000, 00:07:42, 126
2019-06-13 13:46:48 +0000, 00:07:43, 123
2019-06-13 13:46:49 +0000, 00:07:44, 119
2019-06-13 13:46:50 +0000, 00:07:45, 116
2019-06-13 13:46:51 +0000, 00:07:46, 116
2019-06-13 13:46:52 +0000, 00:07:47, 117
